name,full_name,stars,forks,watchers,open_issues,size,language,created_at,updated_at,pushed_at,score
free-programming-books,EbookFoundation/free-programming-books,367317,64055,367317,37,19690,Python,2013-10-11T06:50:37Z,2025-09-05T07:11:17Z,2025-09-05T00:50:01Z,1.0
public-apis,public-apis/public-apis,364040,38225,364040,574,4771,Python,2016-03-20T23:49:42Z,2025-09-05T07:10:05Z,2025-05-20T15:56:34Z,1.0
system-design-primer,donnemartin/system-design-primer,318598,52121,318598,516,11239,Python,2017-02-26T16:15:28Z,2025-09-05T07:08:37Z,2025-05-21T11:13:33Z,1.0
awesome-python,vinta/awesome-python,258276,26247,258276,492,6839,Python,2014-06-27T21:00:06Z,2025-09-05T07:15:53Z,2025-07-17T16:35:51Z,1.0
Python,TheAlgorithms/Python,206599,47722,206599,393,15482,Python,2016-07-16T09:44:01Z,2025-09-05T07:12:56Z,2025-09-05T06:23:43Z,1.0
AutoGPT,Significant-Gravitas/AutoGPT,178298,45962,178298,219,279241,Python,2023-03-16T09:21:07Z,2025-09-05T07:09:18Z,2025-09-05T06:52:42Z,1.0
stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,156186,28983,156186,2424,36427,Python,2022-08-22T14:05:26Z,2025-09-05T05:44:18Z,2025-05-03T06:17:03Z,1.0
transformers,huggingface/transformers,149202,30273,149202,1986,356816,Python,2018-10-29T13:56:00Z,2025-09-05T06:29:29Z,2025-09-04T22:45:07Z,1.0
youtube-dl,ytdl-org/youtube-dl,137157,10458,137157,4140,65579,Python,2010-10-31T14:35:07Z,2025-09-05T06:48:15Z,2025-05-04T11:53:05Z,1.0
HelloGitHub,521xueweihan/HelloGitHub,127230,10698,127230,199,8958,Python,2016-05-04T06:24:11Z,2025-09-05T07:07:25Z,2025-08-28T00:48:15Z,1.0
yt-dlp,yt-dlp/yt-dlp,125250,10006,125250,2049,56497,Python,2020-10-26T04:22:55Z,2025-09-05T07:16:30Z,2025-08-30T22:41:52Z,1.0
langflow,langflow-ai/langflow,112107,7491,112107,867,833665,Python,2023-02-08T22:28:03Z,2025-09-05T07:11:10Z,2025-09-05T06:51:36Z,1.0
DeepSeek-V3,deepseek-ai/DeepSeek-V3,99165,16174,99165,72,1768,Python,2024-12-26T09:52:40Z,2025-09-05T07:16:43Z,2025-08-28T03:24:37Z,1.0
thefuck,nvbn/thefuck,93906,3759,93906,393,4043,Python,2015-04-08T15:08:04Z,2025-09-05T04:55:02Z,2024-07-19T14:56:13Z,1.0
pytorch,pytorch/pytorch,92938,25173,92938,17074,1105156,Python,2016-08-13T05:26:41Z,2025-09-05T06:46:57Z,2025-09-05T07:11:51Z,1.0
fastapi,fastapi/fastapi,89154,7826,89154,277,28082,Python,2018-12-08T08:21:47Z,2025-09-05T07:08:36Z,2025-09-04T15:40:47Z,1.0
whisper,openai/whisper,87734,10877,87734,92,12792,Python,2022-09-16T20:02:54Z,2025-09-05T07:12:06Z,2025-08-18T15:03:07Z,1.0
ComfyUI,comfyanonymous/ComfyUI,87564,9736,87564,2823,74301,Python,2023-01-17T03:15:56Z,2025-09-05T07:11:59Z,2025-09-05T00:39:06Z,1.0
django,django/django,84897,32896,84897,362,270568,Python,2012-04-28T02:47:18Z,2025-09-05T06:58:53Z,2025-09-04T16:38:43Z,1.0
core,home-assistant/core,81079,34973,81079,2875,739378,Python,2013-09-17T07:29:48Z,2025-09-05T06:30:53Z,2025-09-05T06:01:30Z,1.0
