parameter_value,sef_value,parameter_type
0.1,1.48146395656371,kappa
0.125892541179417,1.55342490161016,kappa
0.158489319246111,1.6352806792049,kappa
0.199526231496888,1.72703918252251,kappa
0.251188643150958,1.82761131738586,kappa
0.316227766016838,1.934182707971,kappa
0.398107170553497,2.04157355238781,kappa
0.501187233627272,2.14190918724998,kappa
0.630957344480193,2.22510481399548,kappa
0.794328234724281,2.28059399702915,kappa
1,2.30013676900881,kappa
1.25892541179417,2.28059399702915,kappa
1.58489319246111,2.22510481399548,kappa
1.99526231496888,2.14190918724998,kappa
2.51188643150958,2.04157355238781,kappa
3.16227766016838,1.934182707971,kappa
3.98107170553497,1.82761131738586,kappa
5.01187233627272,1.72703918252251,kappa
6.30957344480193,1.6352806792049,kappa
7.94328234724282,1.55342490161016,kappa
10,1.48146395656371,kappa
-0.9,0.706876933145994,rho
-0.8,0.730674436673731,rho
-0.7,0.756130081698918,rho
-0.6,0.783423425524313,rho
-0.5,0.812760921567789,rho
-0.4,0.844381151290419,rho
-0.3,0.878561326841373,rho
-0.2,0.915625439676228,rho
-0.1,0.955954562632018,rho
0,1,rho
0.1,1.04830024850911,rho
0.2,1.10150312308782,rho
0.3,1.16039498034821,rho
0.4,1.22593984619435,rho
0.5,1.29933259803308,rho
0.6,1.38207246644316,rho
0.7,1.47606652971702,rho
0.8,1.58377852182036,rho
0.9,1.70844792214497,rho
